2019-01-05,"Thank U, Next",Ariana Grande
2018-12-29,"Thank U, Next",Ariana Grande
2018-12-22,"Thank U, Next",Ariana Grande
2018-12-15,"Thank U, Next",Ariana Grande
2018-12-08,Sicko Mode,Travis Scott
2018-12-01,"Thank U, Next",Ariana Grande
2018-11-24,"Thank U, Next",Ariana Grande
2018-11-17,"Thank U, Next",Ariana Grande
2018-11-10,Girls Like You,Maroon 5 Featuring Cardi B
2018-11-03,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-27,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-20,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-13,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-06,Girls Like You,Maroon 5 Featuring Cardi B
2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B
2018-09-22,In My Feelings,Drake
2018-09-15,In My Feelings,Drake
2018-09-08,In My Feelings,Drake
2018-09-01,In My Feelings,Drake
2018-08-25,In My Feelings,Drake
2018-08-18,In My Feelings,Drake
2018-08-11,In My Feelings,Drake
2018-08-04,In My Feelings,Drake
2018-07-28,In My Feelings,Drake
2018-07-21,In My Feelings,Drake
2018-07-14,Nice For What,Drake
2018-07-07,I Like It,"Cardi B, Bad Bunny & J Balvin"
2018-06-30,Sad!,XXXTENTACION
2018-06-23,Nice For What,Drake
2018-06-16,Psycho,Post Malone Featuring Ty Dolla $ign
2018-06-09,Nice For What,Drake
2018-06-02,Nice For What,Drake
2018-05-26,This Is America,Childish Gambino
2018-05-19,This Is America,Childish Gambino
2018-05-12,Nice For What,Drake
2018-05-05,Nice For What,Drake
2018-04-28,Nice For What,Drake
2018-04-21,Nice For What,Drake
2018-04-14,God's Plan,Drake
2018-04-07,God's Plan,Drake
2018-03-31,God's Plan,Drake
2018-03-24,God's Plan,Drake
2018-03-17,God's Plan,Drake
2018-03-10,God's Plan,Drake
2018-03-03,God's Plan,Drake
2018-02-24,God's Plan,Drake
2018-02-17,God's Plan,Drake
2018-02-10,God's Plan,Drake
2018-02-03,God's Plan,Drake
2018-01-27,Havana,Camila Cabello Featuring Young Thug
2018-01-20,Perfect,Ed Sheeran
2018-01-13,Perfect,Ed Sheeran
2018-01-06,Perfect,Ed Sheeran
2017-12-30,Perfect,Ed Sheeran
2017-12-23,Perfect,Ed Sheeran
2017-12-16,Rockstar,Post Malone Featuring 21 Savage
2017-12-09,Rockstar,Post Malone Featuring 21 Savage
2017-12-02,Rockstar,Post Malone Featuring 21 Savage
2017-11-25,Rockstar,Post Malone Featuring 21 Savage
2017-11-18,Rockstar,Post Malone Featuring 21 Savage
2017-11-11,Rockstar,Post Malone Featuring 21 Savage
2017-11-04,Rockstar,Post Malone Featuring 21 Savage
2017-10-28,Rockstar,Post Malone Featuring 21 Savage
2017-10-21,Bodak Yellow (Money Moves),Cardi B
2017-10-14,Bodak Yellow (Money Moves),Cardi B
2017-10-07,Bodak Yellow (Money Moves),Cardi B
2017-09-30,Look What You Made Me Do,Taylor Swift
2017-09-23,Look What You Made Me Do,Taylor Swift
2017-09-16,Look What You Made Me Do,Taylor Swift
2017-09-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-09-02,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-08-26,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-08-19,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-08-12,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-08-05,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-22,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-15,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-08,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-01,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-24,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-10,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-03,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
2017-05-13,That's What I Like,Bruno Mars
2017-05-06,Humble.,Kendrick Lamar
2017-04-29,Shape Of You,Ed Sheeran
2017-04-22,Shape Of You,Ed Sheeran
2017-04-15,Shape Of You,Ed Sheeran
2017-04-08,Shape Of You,Ed Sheeran
2017-04-01,Shape Of You,Ed Sheeran
2017-03-25,Shape Of You,Ed Sheeran
2017-03-18,Shape Of You,Ed Sheeran
2017-03-11,Shape Of You,Ed Sheeran
2017-03-04,Shape Of You,Ed Sheeran
2017-02-25,Shape Of You,Ed Sheeran
2017-02-18,Shape Of You,Ed Sheeran
2017-02-11,Bad And Boujee,Migos Featuring Lil Uzi Vert
2017-02-04,Bad And Boujee,Migos Featuring Lil Uzi Vert
2017-01-28,Shape Of You,Ed Sheeran
2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert
2017-01-14,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2017-01-07,Starboy,The Weeknd Featuring Daft Punk
2016-12-31,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-12-24,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-12-17,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-12-10,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-12-03,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-11-19,Closer,The Chainsmokers Featuring Halsey
2016-11-12,Closer,The Chainsmokers Featuring Halsey
2016-11-05,Closer,The Chainsmokers Featuring Halsey
2016-10-29,Closer,The Chainsmokers Featuring Halsey
2016-10-22,Closer,The Chainsmokers Featuring Halsey
2016-10-15,Closer,The Chainsmokers Featuring Halsey
2016-10-08,Closer,The Chainsmokers Featuring Halsey
2016-10-01,Closer,The Chainsmokers Featuring Halsey
2016-09-24,Closer,The Chainsmokers Featuring Halsey
2016-09-17,Closer,The Chainsmokers Featuring Halsey
2016-09-10,Closer,The Chainsmokers Featuring Halsey
2016-09-03,Closer,The Chainsmokers Featuring Halsey
2016-08-27,Cheap Thrills,Sia Featuring Sean Paul
2016-08-20,Cheap Thrills,Sia Featuring Sean Paul
2016-08-13,Cheap Thrills,Sia Featuring Sean Paul
2016-08-06,Cheap Thrills,Sia Featuring Sean Paul
2016-07-30,One Dance,Drake Featuring WizKid & Kyla
2016-07-23,One Dance,Drake Featuring WizKid & Kyla
2016-07-16,One Dance,Drake Featuring WizKid & Kyla
2016-07-09,One Dance,Drake Featuring WizKid & Kyla
2016-07-02,One Dance,Drake Featuring WizKid & Kyla
2016-06-25,One Dance,Drake Featuring WizKid & Kyla
2016-06-18,One Dance,Drake Featuring WizKid & Kyla
2016-06-11,One Dance,Drake Featuring WizKid & Kyla
2016-06-04,One Dance,Drake Featuring WizKid & Kyla
2016-05-28,Can't Stop The Feeling!,Justin Timberlake
2016-05-21,One Dance,Drake Featuring WizKid & Kyla
2016-05-14,Panda,Desiigner
2016-05-07,Panda,Desiigner
2016-04-30,Work,Rihanna Featuring Drake
2016-04-23,Work,Rihanna Featuring Drake
2016-04-16,Work,Rihanna Featuring Drake
2016-04-09,Work,Rihanna Featuring Drake
2016-04-02,Work,Rihanna Featuring Drake
2016-03-26,Work,Rihanna Featuring Drake
2016-03-19,Work,Rihanna Featuring Drake
2016-03-12,Work,Rihanna Featuring Drake
2016-03-05,Work,Rihanna Featuring Drake
2016-02-27,Love Yourself,Justin Bieber
2016-02-20,Pillowtalk,Zayn
2016-02-13,Love Yourself,Justin Bieber
2016-02-06,Sorry,Justin Bieber
2016-01-30,Sorry,Justin Bieber
2016-01-23,Sorry,Justin Bieber
2016-01-16,Hello,Adele
2016-01-09,Hello,Adele
2016-01-02,Hello,Adele
2015-12-26,Hello,Adele
2015-12-19,Hello,Adele
2015-12-12,Hello,Adele
2015-12-05,Hello,Adele
2015-11-28,Hello,Adele
2015-11-21,Hello,Adele
2015-11-14,Hello,Adele
2015-11-07,The Hills,The Weeknd
2015-10-31,The Hills,The Weeknd
2015-10-24,The Hills,The Weeknd
2015-10-17,The Hills,The Weeknd
2015-10-10,The Hills,The Weeknd
2015-10-03,The Hills,The Weeknd
2015-09-26,Can't Feel My Face,The Weeknd
2015-09-19,What Do You Mean?,Justin Bieber
2015-09-12,Can't Feel My Face,The Weeknd
2015-09-05,Cheerleader,OMI
2015-08-29,Cheerleader,OMI
2015-08-22,Can't Feel My Face,The Weeknd
2015-08-15,Cheerleader,OMI
2015-08-08,Cheerleader,OMI
2015-08-01,Cheerleader,OMI
2015-07-25,Cheerleader,OMI
2015-07-18,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-07-11,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-07-04,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-06-27,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-06-20,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-06-13,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-06-06,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-05-30,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-05-23,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-05-16,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-05-09,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-05-02,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-04-25,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-04-18,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-04-11,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-04-04,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-03-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-03-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-03-14,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-03-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-02-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-02-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-02-14,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-02-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-01-31,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-01-24,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-01-17,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-01-10,Blank Space,Taylor Swift
2015-01-03,Blank Space,Taylor Swift
2014-12-27,Blank Space,Taylor Swift
2014-12-20,Blank Space,Taylor Swift
2014-12-13,Blank Space,Taylor Swift
2014-12-06,Blank Space,Taylor Swift
2014-11-29,Blank Space,Taylor Swift
2014-11-22,Shake It Off,Taylor Swift
2014-11-15,Shake It Off,Taylor Swift
2014-11-08,All About That Bass,Meghan Trainor
2014-11-01,All About That Bass,Meghan Trainor
2014-10-25,All About That Bass,Meghan Trainor
2014-10-18,All About That Bass,Meghan Trainor
2014-10-11,All About That Bass,Meghan Trainor
2014-10-04,All About That Bass,Meghan Trainor
2014-09-27,All About That Bass,Meghan Trainor
2014-09-20,All About That Bass,Meghan Trainor
2014-09-13,Shake It Off,Taylor Swift
2014-09-06,Shake It Off,Taylor Swift
2014-08-30,Rude,MAGIC!
2014-08-23,Rude,MAGIC!
2014-08-16,Rude,MAGIC!
2014-08-09,Rude,MAGIC!
2014-08-02,Rude,MAGIC!
2014-07-26,Rude,MAGIC!
2014-07-19,Fancy,Iggy Azalea Featuring Charli XCX
2014-07-12,Fancy,Iggy Azalea Featuring Charli XCX
2014-07-05,Fancy,Iggy Azalea Featuring Charli XCX
2014-06-28,Fancy,Iggy Azalea Featuring Charli XCX
2014-06-21,Fancy,Iggy Azalea Featuring Charli XCX
2014-06-14,Fancy,Iggy Azalea Featuring Charli XCX
2014-06-07,Fancy,Iggy Azalea Featuring Charli XCX
2014-05-31,All Of Me,John Legend
2014-05-24,All Of Me,John Legend
2014-05-17,All Of Me,John Legend
2014-05-10,Happy,Pharrell Williams
2014-05-03,Happy,Pharrell Williams
2014-04-26,Happy,Pharrell Williams
2014-04-19,Happy,Pharrell Williams
2014-04-12,Happy,Pharrell Williams
2014-04-05,Happy,Pharrell Williams
2014-03-29,Happy,Pharrell Williams
2014-03-22,Happy,Pharrell Williams
2014-03-15,Happy,Pharrell Williams
2014-03-08,Happy,Pharrell Williams
2014-03-01,Dark Horse,Katy Perry Featuring Juicy J
2014-02-22,Dark Horse,Katy Perry Featuring Juicy J
2014-02-15,Dark Horse,Katy Perry Featuring Juicy J
2014-02-08,Dark Horse,Katy Perry Featuring Juicy J
2014-02-01,Timber,Pitbull Featuring Ke$ha
2014-01-25,Timber,Pitbull Featuring Ke$ha
2014-01-18,Timber,Pitbull Featuring Ke$ha
2014-01-11,The Monster,Eminem Featuring Rihanna
2014-01-04,The Monster,Eminem Featuring Rihanna
2013-12-28,The Monster,Eminem Featuring Rihanna
2013-12-21,The Monster,Eminem Featuring Rihanna
2013-12-14,Wrecking Ball,Miley Cyrus
2013-12-07,Royals,Lorde
2013-11-30,Royals,Lorde
2013-11-23,Royals,Lorde
2013-11-16,Royals,Lorde
2013-11-09,Royals,Lorde
2013-11-02,Royals,Lorde
2013-10-26,Royals,Lorde
2013-10-19,Royals,Lorde
2013-10-12,Royals,Lorde
2013-10-05,Wrecking Ball,Miley Cyrus
2013-09-28,Wrecking Ball,Miley Cyrus
2013-09-21,Roar,Katy Perry
2013-09-14,Roar,Katy Perry
2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-05-11,Just Give Me A Reason,P!nk Featuring Nate Ruess
2013-05-04,Just Give Me A Reason,P!nk Featuring Nate Ruess
2013-04-27,Just Give Me A Reason,P!nk Featuring Nate Ruess
2013-04-20,When I Was Your Man,Bruno Mars
2013-04-13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-04-06,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-03-30,Harlem Shake,Baauer
2013-03-23,Harlem Shake,Baauer
2013-03-16,Harlem Shake,Baauer
2013-03-09,Harlem Shake,Baauer
2013-03-02,Harlem Shake,Baauer
2013-02-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-02-16,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-02-09,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-01-26,Locked Out Of Heaven,Bruno Mars
2013-01-19,Locked Out Of Heaven,Bruno Mars
2013-01-12,Locked Out Of Heaven,Bruno Mars
2013-01-05,Locked Out Of Heaven,Bruno Mars
2012-12-29,Locked Out Of Heaven,Bruno Mars
2012-12-22,Locked Out Of Heaven,Bruno Mars
2012-12-15,Diamonds,Rihanna
2012-12-08,Diamonds,Rihanna
2012-12-01,Diamonds,Rihanna
2012-11-24,One More Night,Maroon 5
2012-11-17,One More Night,Maroon 5
2012-11-10,One More Night,Maroon 5
2012-11-03,One More Night,Maroon 5
2012-10-27,One More Night,Maroon 5
2012-10-20,One More Night,Maroon 5
2012-10-13,One More Night,Maroon 5
2012-10-06,One More Night,Maroon 5
2012-09-29,One More Night,Maroon 5
2012-09-22,We Are Never Ever Getting Back Together,Taylor Swift
2012-09-15,Whistle,Flo Rida
2012-09-08,We Are Never Ever Getting Back Together,Taylor Swift
2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift
2012-08-25,Whistle,Flo Rida
2012-08-18,Call Me Maybe,Carly Rae Jepsen
2012-08-11,Call Me Maybe,Carly Rae Jepsen
2012-08-04,Call Me Maybe,Carly Rae Jepsen
2012-07-28,Call Me Maybe,Carly Rae Jepsen
2012-07-21,Call Me Maybe,Carly Rae Jepsen
